date_time,Número de tarjetas principales,Transaciones de consumos totales,Transacciones de consumos corrientes,Transacciones de consumos rotativos,Transacciones de consumos diferidos,Facturación total,Facturación de consumos corrientes (Dólares),Facturación de consumos rotativos (Dólares),Facturación de consumos diferidos (Dólares),Transacciones de consumos en el exterior,Facturación de consumos en el exterior (Dólares),Transacciones de consumos por internet,Facturación de consumos por internet (Dólares)
2017-12-01,2841332.999999989,14621809.000000004,3046310.000000002,7956367.999999973,3619131.00000003,980194568.4399989,170391115.13999975,388963198.45999753,420840254.8400016,1838358.0000000065,142671938.2844694,1010810.9999999999,72501744.9095039
2018-01-01,2873433.9999999967,14663477.999999901,2913467.999999989,8258659.999999921,3491349.9999999907,929851475.900009,157937336.61000073,373060779.70000577,398853359.59000254,1789746.9999999946,135340493.1099999,1186229.0000000019,93546413.79999986
2018-02-01,2902797.000000008,14342734.999999942,2801477.000000009,7964499.999999942,3576757.99999999,899209774.500004,151070528.08999956,355708677.2300048,392430569.17999977,1692755.999999994,134613757.30999887,1060817.000000003,83949957.8999997
2018-03-01,2921640.000000029,14747588.999999993,2831118.0000000005,8147747.999999985,3768723.0000000065,970725958.1399957,155903307.97000036,384786749.7999959,430035900.3699994,1924236.9999999974,157394551.33999988,1164886.9999999935,107383102.07000007
2018-04-01,2949916.9999999916,15085142.999999994,2900599.000000015,8366912.99999999,3817630.99999999,999263379.9700065,164458341.50000072,404192481.07000184,430612557.4000039,2096396.0000000175,172784598.24000034,1231456.9999999902,103538181.11999959
2018-05-01,2966130.999999962,16037593.999999875,2980899.9999999898,9197278.999999933,3859414.999999953,1077867622.909996,166721718.55999917,444136987.669997,467008916.67999977,2303397.0000000102,181720738.6100009,1411859.9999999981,113330525.19000013
2018-06-01,2991974.9999999963,14954244.000000034,2995588.9999999837,8414336.000000037,3544319.000000014,980570379.44,163135114.62999997,383440201.17999995,433995063.6300001,2002807.0000000035,150466749.41999823,1348066.999999999,98652023.51999995
2018-07-01,3036882.000000006,15758447.00000006,3072780.0000000107,8945847.000000032,3739820.000000017,1007008580.4699998,162834861.13000065,409085684.8199988,435088034.5200003,2175661.0000000047,157068160.13999984,1444075.0000000016,107092542.8599996
2018-08-01,3072123.9999999693,16463462.999999946,3160248.9999999832,9448489.999999942,3854724.00000002,1072161841.9300022,175457661.56999838,443014912.53000396,453689267.83,2388406.00000001,183455742.8100011,1429207.9999999977,133094905.45999956
2018-09-01,3108785.999999987,16120687.00000001,3106560.999999986,9074432,3939694.0000000247,1055862919.0425487,172325131.99255165,433118897.25999844,450418889.78999853,2373744.9999999707,182759519.94707823,1591587.000000004,125896008.03000055
